"DATE / TIME (PDT)","SNOW DP INCHES",""
"11/01/1938","NAN",""
"12/01/1938","NAN",""
"01/01/1939","NAN",""
"02/01/1939","NAN",""
"03/01/1939","53",""
"04/01/1939","53",""
"05/01/1939","NAN",""
"06/01/1939","NAN",""
"07/01/1939","NAN",""
"08/01/1939","NAN",""
"09/01/1939","NAN",""
"10/01/1939","NAN",""
"11/01/1939","NAN",""
"12/01/1939","NAN",""
"01/01/1940","NAN",""
"02/01/1940","73",""
"03/01/1940","73",""
"04/01/1940","58",""
"05/01/1940","21",""
"06/01/1940","NAN",""
"07/01/1940","NAN",""
"08/01/1940","NAN",""
"09/01/1940","NAN",""
"10/01/1940","NAN",""
"11/01/1940","NAN",""
"12/01/1940","40",""
"01/01/1941","40",""
"02/01/1941","70",""
"03/01/1941","103",""
"04/01/1941","70",""
"05/01/1941","61",""
"06/01/1941","NAN",""
"07/01/1941","NAN",""
"08/01/1941","NAN",""
"09/01/1941","NAN",""
"10/01/1941","NAN",""
"11/01/1941","NAN",""
"12/01/1941","66",""
"01/01/1942","66",""
"02/01/1942","70",""
"03/01/1942","85",""
"04/01/1942","76",""
"05/01/1942","65",""
"06/01/1942","NAN",""
"07/01/1942","NAN",""
"08/01/1942","NAN",""
"09/01/1942","NAN",""
"10/01/1942","NAN",""
"11/01/1942","NAN",""
"12/01/1942","15",""
"01/01/1943","15",""
"02/01/1943","47",""
"03/01/1943","56",""
"04/01/1943","60",""
"05/01/1943","7",""
"06/01/1943","NAN",""
"07/01/1943","NAN",""
"08/01/1943","NAN",""
"09/01/1943","NAN",""
"10/01/1943","NAN",""
"11/01/1943","NAN",""
"12/01/1943","35",""
"01/01/1944","35",""
"02/01/1944","48",""
"03/01/1944","83",""
"04/01/1944","55",""
"05/01/1944","42",""
"06/01/1944","NAN",""
"07/01/1944","NAN",""
"08/01/1944","NAN",""
"09/01/1944","NAN",""
"10/01/1944","NAN",""
"11/01/1944","NAN",""
"12/01/1944","35",""
"01/01/1945","35",""
"02/01/1945","32",""
"03/01/1945","50",""
"04/01/1945","92",""
"05/01/1945","37",""
"06/01/1945","NAN",""
"07/01/1945","NAN",""
"08/01/1945","NAN",""
"09/01/1945","NAN",""
"10/01/1945","NAN",""
"11/01/1945","NAN",""
"12/01/1945","52",""
"01/01/1946","52",""
"02/01/1946","52",""
"03/01/1946","60",""
"04/01/1946","57",""
"05/01/1946","26",""
"06/01/1946","NAN",""
"07/01/1946","NAN",""
"08/01/1946","NAN",""
"09/01/1946","NAN",""
"10/01/1946","NAN",""
"11/01/1946","NAN",""
"12/01/1946","29",""
"01/01/1947","29",""
"02/01/1947","43",""
"03/01/1947","39",""
"04/01/1947","39",""
"05/01/1947","NAN",""
"06/01/1947","NAN",""
"07/01/1947","NAN",""
"08/01/1947","NAN",""
"09/01/1947","NAN",""
"10/01/1947","NAN",""
"11/01/1947","NAN",""
"12/01/1947","10",""
"01/01/1948","10",""
"02/01/1948","17",""
"03/01/1948","17",""
"04/01/1948","64",""
"05/01/1948","63",""
"06/01/1948","NAN",""
"07/01/1948","NAN",""
"08/01/1948","NAN",""
"09/01/1948","NAN",""
"10/01/1948","NAN",""
"11/01/1948","NAN",""
"12/01/1948","NAN",""
"01/01/1949","65",""
"02/01/1949","65",""
"03/01/1949","77",""
"04/01/1949","98",""
"05/01/1949","39",""
"06/01/1949","NAN",""
"07/01/1949","NAN",""
"08/01/1949","NAN",""
"09/01/1949","NAN",""
"10/01/1949","NAN",""
"11/01/1949","NAN",""
"12/01/1949","NAN",""
"01/01/1950","74",""
"02/01/1950","74",""
"03/01/1950","63",""
"04/01/1950","83",""
"05/01/1950","53",""
"06/01/1950","NAN",""
"07/01/1950","NAN",""
"08/01/1950","NAN",""
"09/01/1950","NAN",""
"10/01/1950","NAN",""
"11/01/1950","NAN",""
"12/01/1950","NAN",""
"01/01/1951","28",""
"02/01/1951","28",""
"03/01/1951","48",""
"04/01/1951","37",""
"05/01/1951","14",""
"06/01/1951","NAN",""
"07/01/1951","NAN",""
"08/01/1951","NAN",""
"09/01/1951","NAN",""
"10/01/1951","NAN",""
"11/01/1951","NAN",""
"12/01/1951","NAN",""
"01/01/1952","115",""
"02/01/1952","115",""
"03/01/1952","127",""
"04/01/1952","152",""
"05/01/1952","NAN",""
"06/01/1952","NAN",""
"07/01/1952","NAN",""
"08/01/1952","NAN",""
"09/01/1952","NAN",""
"10/01/1952","NAN",""
"11/01/1952","NAN",""
"12/01/1952","NAN",""
"01/01/1953","66",""
"02/01/1953","66",""
"03/01/1953","57",""
"04/01/1953","64",""
"05/01/1953","30",""
"06/01/1953","NAN",""
"07/01/1953","NAN",""
"08/01/1953","NAN",""
"09/01/1953","NAN",""
"10/01/1953","NAN",""
"11/01/1953","NAN",""
"12/01/1953","NAN",""
"01/01/1954","55",""
"02/01/1954","55",""
"03/01/1954","68",""
"04/01/1954","101",""
"05/01/1954","23",""
"06/01/1954","NAN",""
"07/01/1954","NAN",""
"08/01/1954","NAN",""
"09/01/1954","NAN",""
"10/01/1954","NAN",""
"11/01/1954","NAN",""
"12/01/1954","NAN",""
"01/01/1955","57",""
"02/01/1955","57",""
"03/01/1955","44",""
"04/01/1955","45",""
"05/01/1955","33",""
"06/01/1955","NAN",""
"07/01/1955","NAN",""
"08/01/1955","NAN",""
"09/01/1955","NAN",""
"10/01/1955","NAN",""
"11/01/1955","NAN",""
"12/01/1955","NAN",""
"01/01/1956","81",""
"02/01/1956","81",""
"03/01/1956","96",""
"04/01/1956","60",""
"05/01/1956","21",""
"06/01/1956","NAN",""
"07/01/1956","NAN",""
"08/01/1956","NAN",""
"09/01/1956","NAN",""
"10/01/1956","NAN",""
"11/01/1956","NAN",""
"12/01/1956","NAN",""
"01/01/1957","52",""
"02/01/1957","52",""
"03/01/1957","48",""
"04/01/1957","52",""
"05/01/1957","21",""
"06/01/1957","NAN",""
"07/01/1957","NAN",""
"08/01/1957","NAN",""
"09/01/1957","NAN",""
"10/01/1957","NAN",""
"11/01/1957","NAN",""
"12/01/1957","NAN",""
"01/01/1958","47",""
"02/01/1958","47",""
"03/01/1958","64",""
"04/01/1958","100",""
"05/01/1958","85",""
"06/01/1958","NAN",""
"07/01/1958","NAN",""
"08/01/1958","NAN",""
"09/01/1958","NAN",""
"10/01/1958","NAN",""
"11/01/1958","NAN",""
"12/01/1958","NAN",""
"01/01/1959","22",""
"02/01/1959","22",""
"03/01/1959","57",""
"04/01/1959","38",""
"05/01/1959","4",""
"06/01/1959","NAN",""
"07/01/1959","NAN",""
"08/01/1959","NAN",""
"09/01/1959","NAN",""
"10/01/1959","NAN",""
"11/01/1959","NAN",""
"12/01/1959","NAN",""
"01/01/1960","29",""
"02/01/1960","29",""
"03/01/1960","55",""
"04/01/1960","36",""
"05/01/1960","20",""
"06/01/1960","NAN",""
"07/01/1960","NAN",""
"08/01/1960","NAN",""
"09/01/1960","NAN",""
"10/01/1960","NAN",""
"11/01/1960","NAN",""
"12/01/1960","NAN",""
"01/01/1961","28",""
"02/01/1961","28",""
"03/01/1961","27",""
"04/01/1961","46",""
"05/01/1961","16",""
"06/01/1961","NAN",""
"07/01/1961","NAN",""
"08/01/1961","NAN",""
"09/01/1961","NAN",""
"10/01/1961","NAN",""
"11/01/1961","NAN",""
"12/01/1961","NAN",""
"01/01/1962","51",""
"02/01/1962","51",""
"03/01/1962","98",""
"04/01/1962","102",""
"05/01/1962","41",""
"06/01/1962","NAN",""
"07/01/1962","NAN",""
"08/01/1962","NAN",""
"09/01/1962","NAN",""
"10/01/1962","NAN",""
"11/01/1962","NAN",""
"12/01/1962","NAN",""
"01/01/1963","NAN",""
"02/01/1963","0",""
"03/01/1963","0",""
"04/01/1963","29",""
"05/01/1963","36",""
"06/01/1963","NAN",""
"07/01/1963","NAN",""
"08/01/1963","NAN",""
"09/01/1963","NAN",""
"10/01/1963","NAN",""
"11/01/1963","NAN",""
"12/01/1963","NAN",""
"01/01/1964","55",""
"02/01/1964","55",""
"03/01/1964","38",""
"04/01/1964","49",""
"05/01/1964","19",""
"06/01/1964","NAN",""
"07/01/1964","NAN",""
"08/01/1964","NAN",""
"09/01/1964","NAN",""
"10/01/1964","NAN",""
"11/01/1964","NAN",""
"12/01/1964","NAN",""
"01/01/1965","78",""
"02/01/1965","78",""
"03/01/1965","77",""
"04/01/1965","78",""
"05/01/1965","52",""
"06/01/1965","NAN",""
"07/01/1965","NAN",""
"08/01/1965","NAN",""
"09/01/1965","NAN",""
"10/01/1965","NAN",""
"11/01/1965","NAN",""
"12/01/1965","NAN",""
"01/01/1966","60",""
"02/01/1966","60",""
"03/01/1966","63",""
"04/01/1966","27",""
"05/01/1966","0",""
"06/01/1966","NAN",""
"07/01/1966","NAN",""
"08/01/1966","NAN",""
"09/01/1966","NAN",""
"10/01/1966","NAN",""
"11/01/1966","NAN",""
"12/01/1966","NAN",""
"01/01/1967","58",""
"02/01/1967","58",""
"03/01/1967","51",""
"04/01/1967","99",""
"05/01/1967","114",""
"06/01/1967","NAN",""
"07/01/1967","NAN",""
"08/01/1967","NAN",""
"09/01/1967","NAN",""
"10/01/1967","NAN",""
"11/01/1967","NAN",""
"12/01/1967","NAN",""
"01/01/1968","33",""
"02/01/1968","33",""
"03/01/1968","41",""
"04/01/1968","41",""
"05/01/1968","7",""
"06/01/1968","NAN",""
"07/01/1968","NAN",""
"08/01/1968","NAN",""
"09/01/1968","NAN",""
"10/01/1968","NAN",""
"11/01/1968","NAN",""
"12/01/1968","NAN",""
"01/01/1969","NAN",""
"02/01/1969","155",""
"03/01/1969","155",""
"04/01/1969","122",""
"05/01/1969","87",""
"06/01/1969","NAN",""
"07/01/1969","NAN",""
"08/01/1969","NAN",""
"09/01/1969","NAN",""
"10/01/1969","NAN",""
"11/01/1969","NAN",""
"12/01/1969","NAN",""
"01/01/1970","NAN",""
"02/01/1970","NAN",""
"03/01/1970","27",""
"04/01/1970","27",""
"05/01/1970","10",""
"06/01/1970","NAN",""
"07/01/1970","NAN",""
"08/01/1970","NAN",""
"09/01/1970","NAN",""
"10/01/1970","NAN",""
"11/01/1970","NAN",""
"12/01/1970","NAN",""
"01/01/1971","NAN",""
"02/01/1971","NAN",""
"03/01/1971","55",""
"04/01/1971","55",""
"05/01/1971","27",""
"06/01/1971","NAN",""
"07/01/1971","NAN",""
"08/01/1971","NAN",""
"09/01/1971","NAN",""
"10/01/1971","NAN",""
"11/01/1971","NAN",""
"12/01/1971","NAN",""
"01/01/1972","NAN",""
"02/01/1972","NAN",""
"03/01/1972","19",""
"04/01/1972","19",""
"05/01/1972","14",""
"06/01/1972","NAN",""
"07/01/1972","NAN",""
"08/01/1972","NAN",""
"09/01/1972","NAN",""
"10/01/1972","NAN",""
"11/01/1972","NAN",""
"12/01/1972","NAN",""
"01/01/1973","NAN",""
"02/01/1973","NAN",""
"03/01/1973","93",""
"04/01/1973","93",""
"05/01/1973","51",""
"06/01/1973","NAN",""
"07/01/1973","NAN",""
"08/01/1973","NAN",""
"09/01/1973","NAN",""
"10/01/1973","NAN",""
"11/01/1973","NAN",""
"12/01/1973","NAN",""
"01/01/1974","NAN",""
"02/01/1974","NAN",""
"03/01/1974","73",""
"04/01/1974","73",""
"05/01/1974","48",""
"06/01/1974","NAN",""
"07/01/1974","NAN",""
"08/01/1974","NAN",""
"09/01/1974","NAN",""
"10/01/1974","NAN",""
"11/01/1974","NAN",""
"12/01/1974","NAN",""
"01/01/1975","NAN",""
"02/01/1975","NAN",""
"03/01/1975","99",""
"04/01/1975","99",""
"05/01/1975","92",""
"06/01/1975","NAN",""
"07/01/1975","NAN",""
"08/01/1975","NAN",""
"09/01/1975","NAN",""
"10/01/1975","NAN",""
"11/01/1975","NAN",""
"12/01/1975","NAN",""
"01/01/1976","NAN",""
