"DATE / TIME (PDT)","SNO ADJ INCHES",""
"11/01/1938","NAN",""
"12/01/1938","NAN",""
"01/01/1939","NAN",""
"02/01/1939","NAN",""
"03/01/1939","17.80",""
"04/01/1939","17.80",""
"05/01/1939","NAN",""
"06/01/1939","NAN",""
"07/01/1939","NAN",""
"08/01/1939","NAN",""
"09/01/1939","NAN",""
"10/01/1939","NAN",""
"11/01/1939","NAN",""
"12/01/1939","NAN",""
"01/01/1940","NAN",""
"02/01/1940","NAN",""
"03/01/1940","NAN",""
"04/01/1940","22.50",""
"05/01/1940","9.00",""
"06/01/1940","NAN",""
"07/01/1940","NAN",""
"08/01/1940","NAN",""
"09/01/1940","NAN",""
"10/01/1940","NAN",""
"11/01/1940","NAN",""
"12/01/1940","NAN",""
"01/01/1941","NAN",""
"02/01/1941","NAN",""
"03/01/1941","NAN",""
"04/01/1941","31.90",""
"05/01/1941","28.90",""
"06/01/1941","NAN",""
"07/01/1941","NAN",""
"08/01/1941","NAN",""
"09/01/1941","NAN",""
"10/01/1941","NAN",""
"11/01/1941","NAN",""
"12/01/1941","NAN",""
"01/01/1942","NAN",""
"02/01/1942","NAN",""
"03/01/1942","NAN",""
"04/01/1942","32.70",""
"05/01/1942","28.20",""
"06/01/1942","NAN",""
"07/01/1942","NAN",""
"08/01/1942","NAN",""
"09/01/1942","NAN",""
"10/01/1942","NAN",""
"11/01/1942","NAN",""
"12/01/1942","NAN",""
"01/01/1943","NAN",""
"02/01/1943","NAN",""
"03/01/1943","NAN",""
"04/01/1943","24.30",""
"05/01/1943","3.40",""
"06/01/1943","NAN",""
"07/01/1943","NAN",""
"08/01/1943","NAN",""
"09/01/1943","NAN",""
"10/01/1943","NAN",""
"11/01/1943","NAN",""
"12/01/1943","NAN",""
"01/01/1944","NAN",""
"02/01/1944","NAN",""
"03/01/1944","NAN",""
"04/01/1944","23.10",""
"05/01/1944","19.40",""
"06/01/1944","NAN",""
"07/01/1944","NAN",""
"08/01/1944","NAN",""
"09/01/1944","NAN",""
"10/01/1944","NAN",""
"11/01/1944","NAN",""
"12/01/1944","NAN",""
"01/01/1945","NAN",""
"02/01/1945","NAN",""
"03/01/1945","NAN",""
"04/01/1945","33.20",""
"05/01/1945","14.80",""
"06/01/1945","NAN",""
"07/01/1945","NAN",""
"08/01/1945","NAN",""
"09/01/1945","NAN",""
"10/01/1945","NAN",""
"11/01/1945","NAN",""
"12/01/1945","NAN",""
"01/01/1946","NAN",""
"02/01/1946","NAN",""
"03/01/1946","NAN",""
"04/01/1946","28.80",""
"05/01/1946","11.90",""
"06/01/1946","NAN",""
"07/01/1946","NAN",""
"08/01/1946","NAN",""
"09/01/1946","NAN",""
"10/01/1946","NAN",""
"11/01/1946","NAN",""
"12/01/1946","NAN",""
"01/01/1947","NAN",""
"02/01/1947","12.70",""
"03/01/1947","13.50",""
"04/01/1947","11.40",""
"05/01/1947","NAN",""
"06/01/1947","NAN",""
"07/01/1947","NAN",""
"08/01/1947","NAN",""
"09/01/1947","NAN",""
"10/01/1947","NAN",""
"11/01/1947","NAN",""
"12/01/1947","NAN",""
"01/01/1948","NAN",""
"02/01/1948","6.50",""
"03/01/1948","6.50",""
"04/01/1948","19.90",""
"05/01/1948","23.70",""
"06/01/1948","NAN",""
"07/01/1948","NAN",""
"08/01/1948","NAN",""
"09/01/1948","NAN",""
"10/01/1948","NAN",""
"11/01/1948","NAN",""
"12/01/1948","NAN",""
"01/01/1949","17.00",""
"02/01/1949","17.00",""
"03/01/1949","25.80",""
"04/01/1949","36.40",""
"05/01/1949","18.70",""
"06/01/1949","NAN",""
"07/01/1949","NAN",""
"08/01/1949","NAN",""
"09/01/1949","NAN",""
"10/01/1949","NAN",""
"11/01/1949","NAN",""
"12/01/1949","NAN",""
"01/01/1950","23.10",""
"02/01/1950","23.10",""
"03/01/1950","25.20",""
"04/01/1950","29.60",""
"05/01/1950","18.80",""
"06/01/1950","NAN",""
"07/01/1950","NAN",""
"08/01/1950","NAN",""
"09/01/1950","NAN",""
"10/01/1950","NAN",""
"11/01/1950","NAN",""
"12/01/1950","NAN",""
"01/01/1951","8.90",""
"02/01/1951","8.90",""
"03/01/1951","13.90",""
"04/01/1951","15.40",""
"05/01/1951","3.00",""
"06/01/1951","NAN",""
"07/01/1951","NAN",""
"08/01/1951","NAN",""
"09/01/1951","NAN",""
"10/01/1951","NAN",""
"11/01/1951","NAN",""
"12/01/1951","NAN",""
"01/01/1952","40.00",""
"02/01/1952","40.00",""
"03/01/1952","47.40",""
"04/01/1952","60.90",""
"05/01/1952","NAN",""
"06/01/1952","NAN",""
"07/01/1952","NAN",""
"08/01/1952","NAN",""
"09/01/1952","NAN",""
"10/01/1952","NAN",""
"11/01/1952","NAN",""
"12/01/1952","NAN",""
"01/01/1953","25.40",""
"02/01/1953","25.40",""
"03/01/1953","24.40",""
"04/01/1953","27.60",""
"05/01/1953","13.80",""
"06/01/1953","NAN",""
"07/01/1953","NAN",""
"08/01/1953","NAN",""
"09/01/1953","NAN",""
"10/01/1953","NAN",""
"11/01/1953","NAN",""
"12/01/1953","NAN",""
"01/01/1954","14.80",""
"02/01/1954","14.80",""
"03/01/1954","22.00",""
"04/01/1954","33.20",""
"05/01/1954","11.70",""
"06/01/1954","NAN",""
"07/01/1954","NAN",""
"08/01/1954","NAN",""
"09/01/1954","NAN",""
"10/01/1954","NAN",""
"11/01/1954","NAN",""
"12/01/1954","NAN",""
"01/01/1955","16.30",""
"02/01/1955","16.30",""
"03/01/1955","17.70",""
"04/01/1955","16.30",""
"05/01/1955","10.50",""
"06/01/1955","NAN",""
"07/01/1955","NAN",""
"08/01/1955","NAN",""
"09/01/1955","NAN",""
"10/01/1955","NAN",""
"11/01/1955","NAN",""
"12/01/1955","NAN",""
"01/01/1956","26.60",""
"02/01/1956","26.60",""
"03/01/1956","30.50",""
"04/01/1956","24.50",""
"05/01/1956","12.10",""
"06/01/1956","NAN",""
"07/01/1956","NAN",""
"08/01/1956","NAN",""
"09/01/1956","NAN",""
"10/01/1956","NAN",""
"11/01/1956","NAN",""
"12/01/1956","NAN",""
"01/01/1957","15.10",""
"02/01/1957","15.10",""
"03/01/1957","16.10",""
"04/01/1957","23.70",""
"05/01/1957","9.80",""
"06/01/1957","NAN",""
"07/01/1957","NAN",""
"08/01/1957","NAN",""
"09/01/1957","NAN",""
"10/01/1957","NAN",""
"11/01/1957","NAN",""
"12/01/1957","NAN",""
"01/01/1958","13.40",""
"02/01/1958","13.40",""
"03/01/1958","24.20",""
"04/01/1958","37.50",""
"05/01/1958","40.80",""
"06/01/1958","NAN",""
"07/01/1958","NAN",""
"08/01/1958","NAN",""
"09/01/1958","NAN",""
"10/01/1958","NAN",""
"11/01/1958","NAN",""
"12/01/1958","NAN",""
"01/01/1959","8.60",""
"02/01/1959","8.60",""
"03/01/1959","19.20",""
"04/01/1959","15.80",""
"05/01/1959","1.80",""
"06/01/1959","NAN",""
"07/01/1959","NAN",""
"08/01/1959","NAN",""
"09/01/1959","NAN",""
"10/01/1959","NAN",""
"11/01/1959","NAN",""
"12/01/1959","NAN",""
"01/01/1960","10.40",""
"02/01/1960","10.40",""
"03/01/1960","18.60",""
"04/01/1960","18.80",""
"05/01/1960","7.30",""
"06/01/1960","NAN",""
"07/01/1960","NAN",""
"08/01/1960","NAN",""
"09/01/1960","NAN",""
"10/01/1960","NAN",""
"11/01/1960","NAN",""
"12/01/1960","NAN",""
"01/01/1961","8.10",""
"02/01/1961","8.10",""
"03/01/1961","9.60",""
"04/01/1961","13.10",""
"05/01/1961","3.70",""
"06/01/1961","NAN",""
"07/01/1961","NAN",""
"08/01/1961","NAN",""
"09/01/1961","NAN",""
"10/01/1961","NAN",""
"11/01/1961","NAN",""
"12/01/1961","NAN",""
"01/01/1962","13.20",""
"02/01/1962","13.20",""
"03/01/1962","31.40",""
"04/01/1962","40.00",""
"05/01/1962","18.30",""
"06/01/1962","NAN",""
"07/01/1962","NAN",""
"08/01/1962","NAN",""
"09/01/1962","NAN",""
"10/01/1962","NAN",""
"11/01/1962","NAN",""
"12/01/1962","NAN",""
"01/01/1963","NAN",""
"02/01/1963","0.00",""
"03/01/1963","0.00",""
"04/01/1963","7.80",""
"05/01/1963","15.90",""
"06/01/1963","NAN",""
"07/01/1963","NAN",""
"08/01/1963","NAN",""
"09/01/1963","NAN",""
"10/01/1963","NAN",""
"11/01/1963","NAN",""
"12/01/1963","NAN",""
"01/01/1964","14.90",""
"02/01/1964","14.90",""
"03/01/1964","12.60",""
"04/01/1964","15.30",""
"05/01/1964","8.00",""
"06/01/1964","NAN",""
"07/01/1964","NAN",""
"08/01/1964","NAN",""
"09/01/1964","NAN",""
"10/01/1964","NAN",""
"11/01/1964","NAN",""
"12/01/1964","NAN",""
"01/01/1965","31.10",""
"02/01/1965","31.10",""
"03/01/1965","28.70",""
"04/01/1965","31.80",""
"05/01/1965","22.80",""
"06/01/1965","NAN",""
"07/01/1965","NAN",""
"08/01/1965","NAN",""
"09/01/1965","NAN",""
"10/01/1965","NAN",""
"11/01/1965","NAN",""
"12/01/1965","NAN",""
"01/01/1966","17.50",""
"02/01/1966","17.50",""
"03/01/1966","20.70",""
"04/01/1966","12.10",""
"05/01/1966","0.00",""
"06/01/1966","NAN",""
"07/01/1966","NAN",""
"08/01/1966","NAN",""
"09/01/1966","NAN",""
"10/01/1966","NAN",""
"11/01/1966","NAN",""
"12/01/1966","NAN",""
"01/01/1967","19.20",""
"02/01/1967","19.20",""
"03/01/1967","19.40",""
"04/01/1967","28.20",""
"05/01/1967","45.30",""
"06/01/1967","NAN",""
"07/01/1967","NAN",""
"08/01/1967","NAN",""
"09/01/1967","NAN",""
"10/01/1967","NAN",""
"11/01/1967","NAN",""
"12/01/1967","NAN",""
"01/01/1968","14.20",""
"02/01/1968","14.20",""
"03/01/1968","15.50",""
"04/01/1968","16.50",""
"05/01/1968","2.90",""
"06/01/1968","NAN",""
"07/01/1968","NAN",""
"08/01/1968","NAN",""
"09/01/1968","NAN",""
"10/01/1968","NAN",""
"11/01/1968","NAN",""
"12/01/1968","NAN",""
"01/01/1969","NAN",""
"02/01/1969","49.10",""
"03/01/1969","49.10",""
"04/01/1969","52.40",""
"05/01/1969","42.20",""
"06/01/1969","NAN",""
"07/01/1969","NAN",""
"08/01/1969","NAN",""
"09/01/1969","NAN",""
"10/01/1969","NAN",""
"11/01/1969","NAN",""
"12/01/1969","NAN",""
"01/01/1970","NAN",""
"02/01/1970","NAN",""
"03/01/1970","12.20",""
"04/01/1970","12.20",""
"05/01/1970","5.00",""
"06/01/1970","NAN",""
"07/01/1970","NAN",""
"08/01/1970","NAN",""
"09/01/1970","NAN",""
"10/01/1970","NAN",""
"11/01/1970","NAN",""
"12/01/1970","NAN",""
"01/01/1971","NAN",""
"02/01/1971","NAN",""
"03/01/1971","22.60",""
"04/01/1971","22.60",""
"05/01/1971","13.60",""
"06/01/1971","NAN",""
"07/01/1971","NAN",""
"08/01/1971","NAN",""
"09/01/1971","NAN",""
"10/01/1971","NAN",""
"11/01/1971","NAN",""
"12/01/1971","NAN",""
"01/01/1972","NAN",""
"02/01/1972","NAN",""
"03/01/1972","7.70",""
"04/01/1972","7.70",""
"05/01/1972","6.20",""
"06/01/1972","NAN",""
"07/01/1972","NAN",""
"08/01/1972","NAN",""
"09/01/1972","NAN",""
"10/01/1972","NAN",""
"11/01/1972","NAN",""
"12/01/1972","NAN",""
"01/01/1973","NAN",""
"02/01/1973","NAN",""
"03/01/1973","35.00",""
"04/01/1973","35.00",""
"05/01/1973","21.60",""
"06/01/1973","NAN",""
"07/01/1973","NAN",""
"08/01/1973","NAN",""
"09/01/1973","NAN",""
"10/01/1973","NAN",""
"11/01/1973","NAN",""
"12/01/1973","NAN",""
