"DATE / TIME (PDT)","SNO ADJ INCHES",""
"11/01/1938","--",""
"12/01/1938","--",""
"01/01/1939","--",""
"02/01/1939","--",""
"03/01/1939","17.80",""
"04/01/1939","17.80",""
"05/01/1939","--",""
"06/01/1939","--",""
"07/01/1939","--",""
"08/01/1939","--",""
"09/01/1939","--",""
"10/01/1939","--",""
"11/01/1939","--",""
"12/01/1939","--",""
"01/01/1940","--",""
"02/01/1940","--",""
"03/01/1940","--",""
"04/01/1940","22.50",""
"05/01/1940","9.00",""
"06/01/1940","--",""
"07/01/1940","--",""
"08/01/1940","--",""
"09/01/1940","--",""
"10/01/1940","--",""
"11/01/1940","--",""
"12/01/1940","--",""
"01/01/1941","--",""
"02/01/1941","--",""
"03/01/1941","--",""
"04/01/1941","31.90",""
"05/01/1941","28.90",""
"06/01/1941","--",""
"07/01/1941","--",""
"08/01/1941","--",""
"09/01/1941","--",""
"10/01/1941","--",""
"11/01/1941","--",""
"12/01/1941","--",""
"01/01/1942","--",""
"02/01/1942","--",""
"03/01/1942","--",""
"04/01/1942","32.70",""
"05/01/1942","28.20",""
"06/01/1942","--",""
"07/01/1942","--",""
"08/01/1942","--",""
"09/01/1942","--",""
"10/01/1942","--",""
"11/01/1942","--",""
"12/01/1942","--",""
"01/01/1943","--",""
"02/01/1943","--",""
"03/01/1943","--",""
"04/01/1943","24.30",""
"05/01/1943","3.40",""
"06/01/1943","--",""
"07/01/1943","--",""
"08/01/1943","--",""
"09/01/1943","--",""
"10/01/1943","--",""
"11/01/1943","--",""
"12/01/1943","--",""
"01/01/1944","--",""
"02/01/1944","--",""
"03/01/1944","--",""
"04/01/1944","23.10",""
"05/01/1944","19.40",""
"06/01/1944","--",""
"07/01/1944","--",""
"08/01/1944","--",""
"09/01/1944","--",""
"10/01/1944","--",""
"11/01/1944","--",""
"12/01/1944","--",""
"01/01/1945","--",""
"02/01/1945","--",""
"03/01/1945","--",""
"04/01/1945","33.20",""
"05/01/1945","14.80",""
"06/01/1945","--",""
"07/01/1945","--",""
"08/01/1945","--",""
"09/01/1945","--",""
"10/01/1945","--",""
"11/01/1945","--",""
"12/01/1945","--",""
"01/01/1946","--",""
"02/01/1946","--",""
"03/01/1946","--",""
"04/01/1946","28.80",""
"05/01/1946","11.90",""
"06/01/1946","--",""
"07/01/1946","--",""
"08/01/1946","--",""
"09/01/1946","--",""
"10/01/1946","--",""
"11/01/1946","--",""
"12/01/1946","--",""
"01/01/1947","--",""
"02/01/1947","12.70",""
"03/01/1947","13.50",""
"04/01/1947","11.40",""
"05/01/1947","--",""
"06/01/1947","--",""
"07/01/1947","--",""
"08/01/1947","--",""
"09/01/1947","--",""
"10/01/1947","--",""
"11/01/1947","--",""
"12/01/1947","--",""
"01/01/1948","--",""
"02/01/1948","6.50",""
"03/01/1948","6.50",""
"04/01/1948","19.90",""
"05/01/1948","23.70",""
"06/01/1948","--",""
"07/01/1948","--",""
"08/01/1948","--",""
"09/01/1948","--",""
"10/01/1948","--",""
"11/01/1948","--",""
"12/01/1948","--",""
"01/01/1949","17.00",""
"02/01/1949","17.00",""
"03/01/1949","25.80",""
"04/01/1949","36.40",""
"05/01/1949","18.70",""
"06/01/1949","--",""
"07/01/1949","--",""
"08/01/1949","--",""
"09/01/1949","--",""
"10/01/1949","--",""
"11/01/1949","--",""
"12/01/1949","--",""
"01/01/1950","23.10",""
"02/01/1950","23.10",""
"03/01/1950","25.20",""
"04/01/1950","29.60",""
"05/01/1950","18.80",""
"06/01/1950","--",""
"07/01/1950","--",""
"08/01/1950","--",""
"09/01/1950","--",""
"10/01/1950","--",""
"11/01/1950","--",""
"12/01/1950","--",""
"01/01/1951","8.90",""
"02/01/1951","8.90",""
"03/01/1951","13.90",""
"04/01/1951","15.40",""
"05/01/1951","3.00",""
"06/01/1951","--",""
"07/01/1951","--",""
"08/01/1951","--",""
"09/01/1951","--",""
"10/01/1951","--",""
"11/01/1951","--",""
"12/01/1951","--",""
"01/01/1952","40.00",""
"02/01/1952","40.00",""
"03/01/1952","47.40",""
"04/01/1952","60.90",""
"05/01/1952","--",""
"06/01/1952","--",""
"07/01/1952","--",""
"08/01/1952","--",""
"09/01/1952","--",""
"10/01/1952","--",""
"11/01/1952","--",""
"12/01/1952","--",""
"01/01/1953","25.40",""
"02/01/1953","25.40",""
"03/01/1953","24.40",""
"04/01/1953","27.60",""
"05/01/1953","13.80",""
"06/01/1953","--",""
"07/01/1953","--",""
"08/01/1953","--",""
"09/01/1953","--",""
"10/01/1953","--",""
"11/01/1953","--",""
"12/01/1953","--",""
"01/01/1954","14.80",""
"02/01/1954","14.80",""
"03/01/1954","22.00",""
"04/01/1954","33.20",""
"05/01/1954","11.70",""
"06/01/1954","--",""
"07/01/1954","--",""
"08/01/1954","--",""
"09/01/1954","--",""
"10/01/1954","--",""
"11/01/1954","--",""
"12/01/1954","--",""
"01/01/1955","16.30",""
"02/01/1955","16.30",""
"03/01/1955","17.70",""
"04/01/1955","16.30",""
"05/01/1955","10.50",""
"06/01/1955","--",""
"07/01/1955","--",""
"08/01/1955","--",""
"09/01/1955","--",""
"10/01/1955","--",""
"11/01/1955","--",""
"12/01/1955","--",""
"01/01/1956","26.60",""
"02/01/1956","26.60",""
"03/01/1956","30.50",""
"04/01/1956","24.50",""
"05/01/1956","12.10",""
"06/01/1956","--",""
"07/01/1956","--",""
"08/01/1956","--",""
"09/01/1956","--",""
"10/01/1956","--",""
"11/01/1956","--",""
"12/01/1956","--",""
"01/01/1957","15.10",""
"02/01/1957","15.10",""
"03/01/1957","16.10",""
"04/01/1957","23.70",""
"05/01/1957","9.80",""
"06/01/1957","--",""
"07/01/1957","--",""
"08/01/1957","--",""
"09/01/1957","--",""
"10/01/1957","--",""
"11/01/1957","--",""
"12/01/1957","--",""
"01/01/1958","13.40",""
"02/01/1958","13.40",""
"03/01/1958","24.20",""
