"nbsp","sing.sp","FEve","FDis","RaoQ","simpson"
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
1,1,NA,0,0,NA
